# image-id: menu-overlay
# annotated_functions/total_functions: 362/362
# Total basis: whole-image AOT range manifest, including authenticated overlapping roots.
# sha256: 82f84a24ac1fd1979754e1cc9c861405fb59ce95dd78db00a76f00c8f1bd177d
# load-address: 0x801c5000
# identity-source: annotations/overlays/disc1-images.toml
# source-record-id: menu-image
# format: address, note

0x801C531C, function start — MenuExecuteSelection; dispatches the selected central-menu action.
0x801DD790, function start — RunTechniqueTargetSelection; selects valid party targets, applies the chosen healing technique, deducts MP or gear fuel after success, and restores the technique display on exit.
0x801DDF24, function start — ProcessTechniqueMenu; handles technique-grid navigation, character switching, detail refreshes, target selection, activation, and cancellation.
0x801DE29C, function start — CheckCurrentDiscNumber; validates or transitions using a disc and field request.
0x801DE2C8, function start — InitializeEquipmentMenuResources; allocates and clears equipment-list storage and prepares equipment text, glyphs, selector artwork, cursor animation, and party-switch indicators.
0x801DE2E4, function start — ResumeEquipmentInitializationWithDisplayStorage; accepts newly allocated display storage, clears it, and completes equipment text, glyph, selector, cursor, and party-switch setup.
0x801DE334, function start — ResumeEquipmentInitializationAtGlyphSetup; enables equipment glyphs and then prepares selector artwork, cursor animation, and party-switch indicators.
0x801DE33C, function start — ResumeEquipmentInitializationAtSelectorSetup; prepares selector artwork, allocates its animated cursor, and enables the mode-appropriate party-switch indicator.
0x801DE344, function start — ResumeEquipmentInitializationAtCursorSetup; allocates the equipment cursor animation and enables the mode-appropriate party-switch indicator.
0x801DE34C, function start — ResumeEquipmentInitializationAtPartySwitchSetup; enables the party-switch indicator for the active character or gear equipment mode and returns.
0x801DE36C, function start — ReleaseEquipmentMenuResources; closes equipment windows, hides equipment text, disables equipment glyphs, frees list and selector storage, and clears their draw flags.
0x801DE3AC, function start — ResumeEquipmentCleanupAfterWindowClosure; hides equipment text, disables equipment glyphs, frees list and selector storage, and clears the remaining selector state.
0x801DE400, function start — ReleaseEquipmentPreviewResources; hides equipment overview and preview elements, renders their final frame, and frees both preview work areas.
0x801DE434, function start — ResumeEquipmentPreviewCleanupAtStorageRelease; frees both equipment overview work areas and returns.
0x801DE474, function start — SetupEquipmentCategoryWindow; selects the character or gear category labels, enables the applicable entries, closes the previous category window, and opens a correctly sized replacement.
0x801DE5AC, function start — ReturnFromEquipmentCategoryWindowSetup; returns after the category labels and replacement window have been established without changing further state.
0x801DE5CC, function start — BuildCompatibleEquipmentPage; filters inventory by mode, slot, compatibility, and restrictions, renders eight candidate names and quantities from the requested offset, and returns the remaining scroll range.
0x801DED50, function start — ResumeEquipmentCandidateRendering; renders up to eight previously filtered equipment candidates with quantities and enable flags, updates the scrollbar, and returns the remaining scroll range.
0x801DF0D4, function start — ApplyEquipmentSelection; equips or removes the selected item, returns displaced equipment to inventory, consumes the replacement, removes empty stacks, clamps quantities, and reports a required category switch.
0x801DF5D0, function start — StageCurrentEquipmentLoadout; copies the active character or gear loadout into editable slots and snapshots the current derived statistics for comparison.
0x801DF890, function start — CommitStagedEquipmentLoadout; writes the edited character or gear equipment slots back to persistent state.
0x801DFB68, function start — StageSelectedEquipmentCandidate; writes the selected candidate identifier into the appropriate staged weapon, armor, accessory, or gear slot.
0x801DFE2C, function start — RecalculateGearEquipmentPreview; recomputes the selected gear's derived parameters and snapshots the resulting statistics for equipment comparison.
0x801DFF5C, function start — BuildEquipmentDescriptionLines; resolves the selected or currently equipped item for the active mode and slot, renders its three description lines, or hides the description when no item is present.
0x801E0434, function start — ReturnReplacedEquipmentToInventory; clears the replaced character or gear equipment slot and returns that item to its inventory stack with a quantity cap of 99.
0x801E05D0, function start — ProcessEquipmentMenu; drives equipment-category navigation, inventory browsing, character switching, stat previews, equip confirmation, cancellation, rendering, and cleanup.
0x801E0680, function start — ResumeEquipmentViewRefresh; resumes the equipment loop by refreshing character and equipment-page visuals when the selected character or page changes.
0x801E06B4, function start — ResumeEquipmentCategoryRefresh; resumes by rebuilding the selected equipment category, item count, scroll position, stat preview, and item-list display.
0x801E0884, function start — ResumeEquipmentPreviewRefresh; resumes after item preview generation by preserving selection state, positioning the category cursor, opening panels when required, and continuing input processing.
0x801E0A78, function start — ResumeEquipmentPanelSetup; resumes setup by creating panels 3 and 5, optionally completing the opening animation, enabling selection rendering, and entering the equipment input loop.
0x801E0AAC, function start — ResumeEquipmentLowerPanelSetup; resumes setup by creating panel 5, optionally completing the opening animation, enabling selection rendering, and entering the equipment input loop.
0x801E0AE0, function start — ResumeEquipmentOpeningTransition; resumes by conditionally starting and waiting for the equipment opening transition before enabling selection rendering and processing input.
0x801E0AF8, function start — ResumeEquipmentPanelAnimation; resumes the opening sequence by starting panel interpolation, waiting for it to finish, and continuing equipment interaction.
0x801E0B04, function start — ResumeEquipmentTransitionPolling; resumes at the transition poll, drawing frames until animation completes before enabling equipment selection and processing input.
0x801E0B14, function start — ResumeEquipmentTransitionWait; waits while the active transition flag remains set, then enables item and cursor rendering and continues the equipment loop.
0x801E0F78, function start — OpenEquipmentMenu; allocates and clears equipment work areas, loads equipment assets, runs the interactive equipment menu, unloads its assets, and returns success.
0x801E0F9C, function start — ResumeEquipmentPrimaryAllocation; resumes with the primary allocation result by storing and clearing it, preparing the auxiliary area, loading equipment assets, running interaction, and unloading assets.
0x801E0FC0, function start — ResumeEquipmentAuxiliaryAllocation; resumes with the auxiliary allocation result by storing and clearing it, loading equipment assets, running interaction, and unloading those assets.
0x801E0FE0, function start — ResumeEquipmentInteraction; resumes after equipment assets are loaded by running the interactive menu, unloading its assets, and returning success.
0x801E1014, function start — SetupDeathblowMenuDisplay; allocates and clears deathblow display memory, loads character assets, builds headings and panels, validates party eligibility, and initializes thirteen double-buffered entry displays.
0x801E1398, function start — TeardownDeathblowMenuDisplay; closes deathblow visuals, renders the final frame, releases text and character assets, unloads deathblow resources, and frees display memory.
0x801E1418, function start — CalculateDeathblowMastery; averages seven capped learning-counter ratios against the selected deathblow requirements and suppresses advanced results unless enabled.
0x801E1544, function start — BuildDeathblowEntryDetails; renders either a deathblow input sequence or its mastery percentage and progress bar according to the entry state.
0x801E1AC8, function start — PopulateDeathblowMenuEntries; evaluates thirteen deathblows for learned and mastery states, builds their names and level indicators, renders entry details, and displays the selected character.
0x801E20C8, function start — ProcessDeathblowMenu; rejects ineligible characters, initializes deathblow presentation, supports party-member switching, processes cancellation, and tears the display down.
0x801E2250, function start — SetupStatusMenuDisplay; allocates and clears status work areas, loads status assets, selects the first enabled party slot, creates the status selector, and returns that slot.
0x801E2324, function start — BuildStatusModeLabel; rebuilds the status-mode text using the selected mode-specific label.
0x801E2368, function start — TeardownStatusMenuDisplay; frees all status work areas and unloads the associated status assets.
0x801E23CC, function start — OpenStatusMenu; initializes and drives character status and equipment views.
0x801E2AE0, function start — SetupAbilitiesMenuDisplay; enables party-selection labels, allocates and clears ability work areas, loads shared assets, and creates the abilities selector.
0x801E2B80, function start — TeardownAbilitiesMenuDisplay; frees all ability work areas and unloads their shared assets.
0x801E2BE4, function start — ProcessAbilitiesMenu; drives character and three-option ability navigation, opens equipment, targeted ability, or deathblow interaction, restores presentation afterward, and exits on cancellation.
0x801E3088, function start — CleanupCompletedMenuAction; dispatches resource teardown for the completed top-level menu action and disables any associated party presentation.
0x801E31C0, function start — ApplyConsumableEffect; applies item-defined HP, EP, attribute, status, and special effects with proper caps and reports when requested recovery was already full.
0x801E35BC, function start — ApplyTargetedHealing; adds potency-scaled character healing or ten percent of maximum gear HP to the selected target and clamps the result to its maximum.
0x801E36D4, function start — RecalculateCharacterEquipmentEffects; clears and rebuilds a character's equipment bonuses, status masks, elemental effects, weapon attributes, and accumulated modifiers from three equipped items.
0x801E3A80, function start — CalculateCharacterDisplayedStats; combines character base attributes with equipment modifiers and writes capped attack, defense, accuracy, evade, and related displayed values.
0x801E3C2C, function start — CalculateGearDisplayedStats; combines gear components, equipment effects, weapon values, and pilot modifiers into current displayed HP, fuel, attack, defense, response, and related values.
0x801E3ECC, function start — SynchronizeLinkedGearLoadouts; recomputes selected gear effects, mirrors its three loadout identifiers into linked gear records, and refreshes every affected gear.
0x801E4170, function start — LoadGearComponentBaseStats; refreshes one gear's frame, engine, and armor-derived base values from its selected component identifiers.
0x801E41C0, function start — LoadGearFrameBaseStats; loads frame-defined maximum HP and core attributes, resets current HP to maximum, and enforces the HP limit.
0x801E4258, function start — LoadGearArmorBaseStats; loads the two armor-derived defensive values selected for a gear.
0x801E42AC, function start — LoadGearEngineBaseStats; loads engine fuel capacity and output attributes and clamps current fuel to the new capacity.
0x801E433C, function start — RecalculateGearEquipmentEffects; clears and rebuilds gear equipment totals, weight, attribute modifiers, elemental and status masks, compatibility effects, and the derived weight penalty.
0x801E4754, function start — LoadGearWeaponStats; loads the selected gear weapon's power, effects, attributes, and status mask while resolving multi-weapon variants for applicable gears.
0x801E4928, function start — CalculateGearWeightPenalty; derives a nonnegative equipment penalty from accumulated gear weight and its innate offset.
0x801E4998, function start — InitializeGearResourceHpThreshold; derives a gear-resource HP threshold from maximum HP and rounds it down to a multiple of ten.
0x801E4A28, function start — SnapshotMenuGameState; copies mutable character, gear, inventory, progression, and related gameplay state into a menu snapshot.
0x801E4D10, function start — RestoreMenuGameState; restores character, gear, inventory, progression, and related gameplay state from a snapshot and recalculates component and equipment effects.
0x801E5058, function start — GrantTenOfEveryInventoryEntry; fills five inventory catalogs with sequential identifiers and sets every populated quantity to ten.
0x801E5178, function start — UnlockAllCharactersAndAbilities; enables all eleven party members, installs their complete ability masks, and sets ability energy to seven.
0x801E53CC, function start — InitializeMenuBoxPrimitivePool; resets one indexed menu box and prepares its double-buffered background, border, texture, color, and draw-mode packets.
0x801E56E8, function start — InitializeMemoryCardTileFaces; prepares double-buffered 16x16 card icons, dim backing quads, transformation vertices, and draw modes for one tile.
0x801E5924, function start — InitializeMemoryCardTileOutlines; prepares double-buffered green triangular outlines and transformation vertices for one 16x16 card tile.
0x801E5ACC, function start — AllocateMemoryCardTileDisplay; allocates, clears, and initializes all 32 memory-card tile work areas.
0x801E5B3C, function start — ReleaseMemoryCardTileDisplay; releases all 32 memory-card tile work areas.
0x801E5B88, function start — InitializeMemoryCardBlockGlyphs; builds double-buffered 12x16 glyph sprites for 32 memory-card blocks arranged across two rows.
0x801E5E4C, function start — InitializeMemoryCardSelectionBand; builds double-buffered 32x32 textured quads and a full-width purple-to-blue selection band.
0x801E61B0, function start — BuildMemoryCardPreviewLabels; renders nine fixed labels and prepares a textured name quad for each of three save-preview panes.
0x801E6450, function start — AllocateMemoryCardPreviewDisplay; allocates and clears the save-preview display storage before initializing its block glyphs and selection band.
0x801E649C, function start — ReleaseMemoryCardPreviewDisplay; releases the save-preview display storage and disables its draw flag.
0x801E64E0, function start — ClearSavePreviewTexture; restores a blank 64x32 texture at VRAM origin and disables save-preview drawing.
0x801E6544, function start — CompressMenuGlyphToTwelvePixels; folds each 16-pixel glyph row into twelve columns by merging four boundary pairs.
0x801E65E4, function start — ResolveMenuGlyphBitmap; converts a one- or two-byte encoded character into a font code, records its byte length, and resolves its glyph bitmap.
0x801E6668, function start — RasterizeMemoryCardTitle; decodes up to 32 title characters, compresses their glyphs, packs a 4bpp 64x32 image, and uploads it to VRAM.
0x801E68AC, function start — BuildMemoryCardSaveHeaderDisplay; renders save-header labels, seven play-time digits, two fixed values, and the two-digit save number.
0x801E6AE8, function start — BuildSavePartyMemberEmblem; selects and renders the saved party member emblem for one preview row.
0x801E6B70, function start — BuildSavePartyLevelValues; formats and renders primary and secondary three-digit levels for one saved party member.
0x801E6CFC, function start — BuildSavePartyHpValues; formats and renders current and maximum three-digit HP values for one saved party member.
0x801E6F5C, function start — BuildSavePartyMpValues; formats and renders current and maximum two-digit MP values for one saved party member.
0x801E71B4, function start — UploadSavePartyMemberName; decodes a saved party member name into a 40x13 image and uploads it to that preview row's VRAM region.
0x801E733C, function start — InitializeSaveSlotMarkers; builds sixteen double-buffered 12x16 textured markers at consecutive save-slot positions.
0x801E76EC, function start — BuildMemoryCardSavePreview; assembles three available party rows, their names, emblems, levels, HP, MP, header values, and slot markers.
0x801E781C, function start — RefreshMemoryCardSavePreview; clears the preview texture, optionally rebuilds valid save details, rasterizes the title, and updates visibility.
0x801E78C8, function start — UploadMemoryCardIconFrames; uploads one icon palette and three icon frames to VRAM and records frame locations from the display mode.
0x801E7C50, function start — InitializeMenuTextSpritePair; prepares two neutral text quads with atlas coordinates, palette selection, and inactive state.
0x801E7E68, function start — RasterizeMenuTextPairs; renders paired dialog strings, defines their 28x13 VRAM regions, initializes their sprites, and uploads each pair.
0x801E8018, function start — RasterizeMenuTextPairsAtRowFour; renders the requested paired menu strings beginning at atlas row four.
0x801E8044, function start — ClearMenuDisplayFlags; clears the requested number of consecutive menu display flags.
0x801E8070, function start — UpdateIndexedMenuTextEntry; applies mode-specific coordinates or texture geometry to one indexed text entry, records buffer parity, and enables it.
0x801E8474, function start — AnimateMainMenuTextReveal; progressively builds the two main-menu text columns and renders two frames after each reveal step.
0x801E86C8, function start — AnimateLoadSaveOptionReveal; progressively reveals up to four configured load-save options in both text columns with interleaved frames.
0x801E8978, function start — RefreshMainMenuSelection; rerenders both main-menu columns with the selected label variant, repositions the cursor, and enables drawing.
0x801E8B4C, function start — RefreshLoadSaveSelection; rerenders available load-save options with the selected label variant, updates buffer parity, and repositions the cursor.
0x801E8DA8, function start — UploadCharacterNameTexture; rasterizes the selected character name pair into a 40x13 image and uploads it to the assigned VRAM region.
0x801E8EAC, function start — ConfigureTexturedQuadTone; applies one of four shading and translucency modes while setting the quad's neutral or dark intensity.
0x801E8F60, function start — ToggleMenuBoxBorderDimming; applies the requested bright or dim tone to every active border segment of one menu box.
0x801E91C4, function start — InitializeSemitransparentMenuTile; enables semitransparency, disables texture shading, and assigns neutral gray intensity.
0x801E920C, function start — SetTexturedQuadRectangle; writes all screen and texture corners from an origin, texture origin, width, and height.
0x801E927C, function start — InitializeNeutralTexturedQuad; initializes an opaque unshaded textured quad with neutral gray intensity.
0x801E92CC, function start — InitializeDiscSwapInterface; resets an inactive CD interface and repeatedly issues initialization command 8 until accepted.
0x801E9340, function start — ReadHostPathIntoMemory; opens a host path, transfers the requested byte count to memory, and closes the handle.
0x801E93A0, function start — ValidateDiscIdentityAndLoadIndexes; waits for media readiness, verifies the expected disc marker and number, loads disc indexes, and reports success, read failure, or wrong media.
